q_cw,q_cx,q_cy,q_cz,w_cx,w_cy,w_cz,q_tw,q_tx,q_ty,q_tz,w_tx,w_ty,w_tz
0.4739922449338853,0.0,0.0,0.880529705192751,0.0,0.0,3.657874813350569,0.48865926715706093,0.0,0.0,0.8724747105232277,0.0,0.0,3.5909189470658975
0.4578115637614637,0.0,0.0,0.889049932271194,0.0,0.0,3.6569652522564122,0.4729164171368762,0.0,0.0,0.8811072932868023,0.0,0.0,3.5909189470658975
0.4414845376949731,0.0,0.0,0.8972695319488655,0.0,0.0,3.6548651992338557,0.45702111834230613,0.0,0.0,0.8894558433500968,0.0,0.0,3.5909189470658975
0.4250166937048344,0.0,0.0,0.9051861797776523,0.0,0.0,3.6540059900334176,0.44097849476298595,0.0,0.0,0.897517669484431,0.0,0.0,3.5909189470658975
0.40841363385900054,0.0,0.0,0.9127976301835142,0.0,0.0,3.6519373221380524,0.4247937178799935,0.0,0.0,0.9052901728891101,0.0,0.0,3.5909189470658975
0.39168095025259614,0.0,0.0,0.920101756981521,0.0,0.0,3.65112755583537,0.40847200499877667,0.0,0.0,0.9127708480291704,0.0,0.0,3.5909189470658975
0.37482430602593664,0.0,0.0,0.9270965157984867,0.0,0.0,3.6490899853657623,0.39201861756730916,0.0,0.0,0.919957283443061,0.0,0.0,3.5909189470658975
0.35784935172966353,0.0,0.0,0.9337799802206198,0.0,0.0,3.6483287507126714,0.37543885948001615,0.0,0.0,0.9268471625199997,0.0,0.0,3.5909189470658975
0.3407618048144998,0.0,0.0,0.9401503083953879,0.0,0.0,3.646321978716797,0.35873807536801733,0.0,0.0,0.9334382642467524,0.0,0.0,3.5909189470658975
0.3235673675903882,0.0,0.0,0.9462057749916701,0.0,0.0,3.645608363027227,0.34192164887623794,0.0,0.0,0.9397284639235969,0.0,0.0,3.5909189470658975
0.30627180503791906,0.0,0.0,0.9519447417985718,0.0,0.0,3.6436320799534263,0.3249950009279434,0.0,0.0,0.9457157338492385,0.0,0.0,3.5909189470658975
0.2888808645072744,0.0,0.0,0.9573656856819065,0.0,0.0,3.6429651698910224,0.3079635879772569,0.0,0.0,0.9513981439744568,0.0,0.0,3.5909189470658975
0.27140035171399457,0.0,0.0,0.9624671729941283,0.0,0.0,3.6410190562239104,0.29083290025022335,0.0,0.0,0.9567738625242747,0.0,0.0,3.5909189470658975
0.2538360523108819,0.0,0.0,0.9672478837141393,0.0,0.0,3.6403979385629515,0.27360845997498656,0.0,0.0,0.9618411565884469,0.0,0.0,3.5909189470658975
0.23619380594342765,0.0,0.0,0.9717065894797169,0.0,0.0,3.6384816654442185,0.2562958196016505,0.0,0.0,0.9665983926800792,0.0,0.0,3.5909189470658975
0.21847942981528043,0.0,0.0,0.9758421741000656,0.0,0.0,3.6379054278038674,0.23890056001239787,0.0,0.0,0.9710440372621966,0.0,0.0,3.5909189470658975
0.2006987906911927,0.0,0.0,0.9796536150200722,0.0,0.0,3.6360186576379223,0.22142828872244377,0.0,0.0,0.9751766572420931,0.0,0.0,3.5909189470658975
0.1828577305642488,0.0,0.0,0.9831400003967128,0.0,0.0,3.63548638918986,0.20388463807240356,0.0,0.0,0.9789949204333018,0.0,0.0,3.5909189470658975
0.16496213650657196,0.0,0.0,0.9863005138031478,0.0,0.0,3.6336287762342985,0.18627526341265838,0.0,0.0,0.9824975959850365,0.0,0.0,3.5909189470658975
0.14701786853427384,0.0,0.0,0.9891344480610834,0.0,0.0,3.6331395683838483,0.16860584128030304,0.0,0.0,0.9856835547789674,0.0,0.0,3.5909189470658975
0.12903082721835066,0.0,0.0,0.9916411929920944,0.0,0.0,3.6313107593247387,0.15088206756926426,0.0,0.0,0.9885517697932029,0.0,0.0,3.5909189470658975
0.11100688383129674,0.0,0.0,0.9938202461983493,0.0,0.0,3.6308637063656213,0.13310965569417912,0.0,0.0,0.9911013164333584,0.0,0.0,3.5909189470658975
0.09295194564257551,0.0,0.0,0.9956712036685981,0.0,0.0,3.629063340877621,0.1152943347486255,0.0,0.0,0.9933313728306079,0.0,0.0,3.5909189470658975
0.07487188841906775,0.0,0.0,0.9971937676993239,0.0,0.0,3.6286575406205093,0.0974418476582982,0.0,0.0,0.9952412201066204,0.0,0.0,3.5909189470658975
0.05677261934119804,0.0,0.0,0.9983877401635322,0.0,0.0,3.6268852519118457,0.07955794932972637,0.0,0.0,0.9968302426052971,0.0,0.0,3.5909189470658975
