x_tc,y_tc,z_tc,vx_tc,vy_tc,vz_tc
-0.5,0.0,0.0,0.1,0.0,0.0
-0.49922092362125303,0.0007714533625089151,0.0,0.05771817683243994,0.1547967054552677,0.0
-0.4988287802962157,0.0030671893580915717,0.0,0.022530735494982794,0.30477161853986773,0.0
-0.498755170334028,0.0068377589728651315,0.0,-0.006069614176315009,0.4496845926807186,0.0
-0.4989366644204756,0.01203148787860891,0.0,-0.028569559069902436,0.5893304649934212,0.0
-0.4993145985449195,0.018594816049472405,0.0,-0.04543538595015713,0.7235370146779937,0.0
-0.49983487118346775,0.026472617220050114,0.0,-0.057113229077229336,0.8521629734287075,0.0
-0.5004477431157354,0.035608498790315725,0.0,-0.06402934864979588,0.9750961047650231,0.0
-0.5011076401970364,0.0459450828201748,0.0,-0.06659044292511523,1.0922513430274137,0.0
-0.5017729594072107,0.057424268713745195,0.0,-0.06518399091527759,1.2035689926930346,0.0
-0.5024058784649648,0.06998747820207368,0.0,-0.060178622288860416,1.3090129890728972,0.0
-0.50297216926044,0.08357588324712464,0.0,-0.05192451060536145,1.408569222148359,0.0
-0.5034410153261445,0.09813061749737298,0.0,-0.0407537872610124,1.502243923303365,0.0
-0.5037848335416554,0.11359297192101492,0.0,-0.026980973824516093,1.59006211433587,0.0
-0.5039791002433776,0.1299045752384704,0.0,-0.010903430254369444,1.672066118494809,0.0
-0.5040021818864063,0.14700755977236965,0.0,0.007198183341340234,1.7483141331020544,0.0
-0.5038351703830033,0.16484471332328324,0.0,0.027059433559296166,1.818878862215402,0.0
-0.5034617232199827,0.18335961769329645,0.0,0.04843163152644571,1.8838462136425351,0.0
-0.5028679084378507,0.20249677444382116,0.0,0.0710813430439181,1.9433140488664575,0.0
-0.5020420545366014,0.22220171846867767,0.0,0.09478989355114131,1.9973909962360756,0.0
-0.5009746053527656,0.2424211199800485,0.0,0.11935286926407299,2.046195320395784,0.0
-0.4996579799375437,0.2631028754707673,0.0,0.14457961617288825,2.0898538481485094,0.0
-0.4980864374498728,0.2841961882114895,0.0,0.17029273839563733,2.128500949576763,0.0
-0.49625594706383863,0.30565163882925034,0.0,0.19632759727899995,2.16227757319002,0.0
-0.4941640628764401,0.32742124650127935,0.0,0.22253181253571264,2.191330333804379,0.0
-0.4918098037893101,0.3494585212847573,0.0,0.24876476661029043,2.2158106518126863,0.0
-0.48919353832654944,0.3717185080895578,0.0,0.2748971133710351,2.2358739424595506,0.0
-0.48631687434030646,0.3941578227869976,0.0,0.30081029213519267,2.251678853704265,0.0
-0.48318255354609396,0.41673468093326266,0.0,0.32639604794923277,2.2633865512181415,0.0
-0.4797943508210385,0.4394089195715636,0.0,0.35155595896150493,2.2711600490482664,0.0
-0.47615697819027686,0.46214201256227144,0.0,0.376200971646622,2.27516358445566,0.0
-0.4722759934195004,0.4848970798753028,0.0,0.4002509445653426,2.275562035424972,0.0
-0.46815771312517324,0.5076388912639807,0.0,0.4236342012713063,2.2725203793404267,0.0
-0.46380913030817966,0.5303338647244834,0.0,0.4462870929078689,2.266203191311469,0.0
-0.4592378362115512,0.5529500601298735,0.0,0.4681535709730871,2.2567741806414237,0.0
-0.4544519463984506,0.5754571684126207,0.0,0.48918477066971583,2.2443957639311045,0.0
-0.4494600309427413,0.5978264966545191,0.0,0.5093386051936505,2.229228673322803,0.0
-0.44427104862110534,0.6200309494280497,0.0,0.528579371280624,2.211431598411023,0.0
-0.4388942849929355,0.6420450067184527,0.0,0.546877366239388,2.191160860335951,0.0
-0.4333392942520182,0.6638446987411515,0.0,0.5642085166849977,2.168570116620376,0.0
-0.42761584473626446,0.6854075779493004,0.0,0.5805540182980056,2.143810094225534,0.0
-0.42173386796416745,0.7067126885349859,0.0,0.5958999908806109,2.117028355042974,0.0
-0.4157034110855747,0.7277405336834417,0.0,0.6102371404514493,2.088369080921007,0.0
-0.40953459263515873,0.7484730408284287,0.0,0.6235604367570929,2.057972888687008,0.0
-0.40323756145491046,0.7688935251715983,0.0,0.635868802022449,2.0259766677869977,0.0
