q_cw,q_cx,q_cy,q_cz,w_cx,w_cy,w_cz,q_tw,q_tx,q_ty,q_tz,w_tx,w_ty,w_tz
0.08807895878288446,0.0,0.0,0.9961134953582411,0.0,0.0,3.6091182080114868,0.09652334922511434,0.0,0.0,0.9953307203271532,0.0,0.0,3.5909189470658975
0.07009117893588196,0.0,0.0,0.9975405882723167,0.0,0.0,3.6087003327901024,0.07863799208481184,0.0,0.0,0.9969032380192078,0.0,0.0,3.5909189470658975
0.0520813739576207,0.0,0.0,0.9986428436140558,0.0,0.0,3.6087992416804138,0.06072728529480532,0.0,0.0,0.9981543951677739,0.0,0.0,3.5909189470658975
0.03405540480767094,0.0,0.0,0.9994199457777876,0.0,0.0,3.608383405249949,0.042797002529257694,0.0,0.0,0.9990837884513196,0.0,0.0,3.5909189470658975
0.016019133735352433,0.0,0.0,0.9998716847521161,0.0,0.0,3.608485419229972,0.02485292377282012,0.0,0.0,0.99969111827173,0.0,0.0,3.5909189470658975
-0.0020215722228066058,0.0,0.0,0.9999979559282214,0.0,0.0,3.608071596339206,0.006900833457402975,0.0,0.0,0.9999761888508856,0.0,0.0,3.5909189470658975
-0.02006084847302348,0.0,0.0,0.9997987602377729,0.0,0.0,3.6081766688884214,-0.011053481402486708,0.0,0.0,0.9999389082937732,0.0,0.0,3.5909189470658975
-0.038092829468504466,0.0,0.0,0.9992742040890145,0.0,0.0,3.6077648345072117,-0.02900423307524039,0.0,0.0,0.9995792886181087,0.0,0.0,3.5909189470658975
-0.056111655833018796,0.0,0.0,0.9984244992456343,0.0,0.0,3.6078729196210286,-0.046945634977874295,0.0,0.0,0.9988974457504637,0.0,0.0,3.5909189470658975
-0.07411147106991148,0.0,0.0,0.997249962883065,0.0,0.0,3.6074630489412525,-0.06487190354138545,0.0,0.0,0.9978935994888948,0.0,0.0,3.5909189470658975
-0.09208642857163227,0.0,0.0,0.995751017216105,0.0,0.0,3.6075741011291753,-0.08277726007513607,0.0,0.0,0.9965680734320903,0.0,0.0,3.5909189470658975
-0.11003068843618816,0.0,0.0,0.9939281896678676,0.0,0.0,3.6071661695655655,-0.10065593262966548,0.0,0.0,0.9949212948750551,0.0,0.0,3.5909189470658975
-0.12793842435536718,0.0,0.0,0.9917821122541048,0.0,0.0,3.607280143849256,-0.1185021578573288,0.0,0.0,0.9929537946713684,0.0,0.0,3.5909189470658975
-0.14580382054091065,0.0,0.0,0.989313521857262,0.0,0.0,3.606874127040141,-0.13631018287016292,0.0,0.0,0.9906662070620584,0.0,0.0,3.5909189470658975
-0.16362107848457574,0.0,0.0,0.9865232593755953,0.0,0.0,3.6069909789513703,-0.15407426709438057,0.0,0.0,0.9880592694711493,0.0,0.0,3.5909189470658975
-0.18138441399592423,0.0,0.0,0.9834122700948235,0.0,0.0,3.6065868527593192,-0.17178868412089493,0.0,0.0,0.9851338222679457,0.0,0.0,3.5909189470658975
-0.19908806382777056,0.0,0.0,0.9799816026102549,0.0,0.0,3.6067065383378236,-0.189447723551278,0.0,0.0,0.9818908084961325,0.0,0.0,3.5909189470658975
-0.21672628282710837,0.0,0.0,0.9762324092885829,0.0,0.0,3.606304278850196,-0.2070456928385579,0.0,0.0,0.9783312735697766,0.0,0.0,3.5909189470658975
-0.23429335041989158,0.0,0.0,0.9721659449713412,0.0,0.0,3.606426754641431,-0.22457691912226146,0.0,0.0,0.9744563649363279,0.0,0.0,3.5909189470658975
-0.2517835678762522,0.0,0.0,0.9677835675194606,0.0,0.0,3.6060263381708393,-0.24203575105711095,0.0,0.0,0.9702673317067303,0.0,0.0,3.5909189470658975
-0.26919126464896037,0.0,0.0,0.9630867363064616,0.0,0.0,3.6061515612236437,-0.25941656063478485,0.0,0.0,0.9657655242527589,0.0,0.0,3.5909189470658975
-0.2865107957537286,0.0,0.0,0.9580770128384734,0.0,0.0,3.6057529643083255,-0.27671374499815604,0.0,0.0,0.9609523937717164,0.0,0.0,3.5909189470658975
-0.3037365479560913,0.0,0.0,0.9527560590456456,0.0,0.0,3.605880892172493,-0.2939217282474222,0.0,0.0,0.9558294918186266,0.0,0.0,3.5909189470658975
-0.3208629372672415,0.0,0.0,0.9471256379704317,0.0,0.0,3.605484091576599,-0.311034963237546,0.0,0.0,0.9503984698060772,0.0,0.0,3.5909189470658975
-0.33788441497446153,0.0,0.0,0.9411876118657574,0.0,0.0,3.6056146823003647,-0.3280479333664265,0.0,0.0,0.9446610784718721,0.0,0.0,3.5909189470658975
-0.35479546525259925,0.0,0.0,0.9349439429444835,0.0,0.0,3.6052196550141633,-0.3449551543532244,0.0,0.0,0.9386191673146657,0.0,0.0,3.5909189470658975
-0.37159061103356766,0.0,0.0,0.9283966912929114,0.0,0.0,3.605352867141605,-0.36175117600626794,0.0,0.0,0.9322746839977607,0.0,0.0,3.5909189470658975
-0.3882644117332388,0.0,0.0,0.9215480156744681,0.0,0.0,3.6049595903816094,-0.37843058397997076,0.0,0.0,0.925629673721262,0.0,0.0,3.5909189470658975
-0.404811468955913,0.0,0.0,0.9144001712671538,0.0,0.0,3.6050953829499703,-0.3949880015201934,0.0,0.0,0.9186862785627881,0.0,0.0,3.5909189470658975
-0.4212264243360894,0.0,0.0,0.9069555105146322,0.0,0.0,3.6047038341589825,-0.41141809119748785,0.0,0.0,0.9114467367869533,0.0,0.0,3.5909189470658975
-0.4375039650741822,0.0,0.0,0.8992164806962375,0.0,0.0,3.604842166695918,-0.42771555662766453,0.0,0.0,0.9039133821238441,0.0,0.0,3.5909189470658975
-0.45363882189231974,0.0,0.0,0.8911856248188053,0.0,0.0,3.604452323543002,-0.44387514417912866,0.0,0.0,0.8960886430167199,0.0,0.0,3.5909189470658975
-0.4696257743979562,0.0,0.0,0.8828655790278533,0.0,0.0,3.6045931560637516,-0.4598916446664347,0.0,0.0,0.8879750418391835,0.0,0.0,3.5909189470658975
-0.485459649152556,0.0,0.0,0.8742590735336523,0.0,0.0,3.604204996444129,-0.475759895029513,0.0,0.0,0.8795751940820716,0.0,0.0,3.5909189470658975
-0.501135324860113,0.0,0.0,0.8653689298721787,0.0,0.0,3.604348289448619,-0.49147477999802797,0.0,0.0,0.8708918075103281,0.0,0.0,3.5909189470658975
